ID_geo,Entidad_federativa,Tipo,Año,poblacion_en_situacion_de_pobreza,poblacion_en_situacion_de_pobreza_moderada,poblacion_en_situacion_de_pobreza_extrema,poblacion_vulnerable_por_carencias_sociales,poblacion_vulnerable_por_ingresos,poblacion_no_pobre_y_no_vulnerable,poblacion_con_al_menos_una_carencia_social,poblacion_con_al_menos_tres_carencias_sociales,rezago_educativo,carencia_por_acceso_a_los_servicios_de_salud,carencia_por_acceso_a_la_seguridad_social,carencia_por_calidad_y_espacios_de_la_vivienda,carencia_por_acceso_a_los_servicios_basicos_en_la_vivienda,carencia_por_acceso_a_la_alimentacion,poblacion_con_ingreso_inferior_a_la_linea_de_pobreza_extrema_por_ingresos,poblacion_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos,poblacion_total,pib_mn_2013,pib_mn_corr
MX-GUA,Guanajuato,Porcentaje,2018,43.4,39.1,4.2,29.4,7.5,19.7,72.8,14.1,19,13.7,57.1,9.1,11.9,20.7,15.9,50.9,6117.21,712902.447,961215.854
MX-GRO,Guerrero,Porcentaje,2008,68.4,36,32.4,22.8,2,6.8,91.3,62.6,28.5,55.9,81.2,44.7,54.6,34,38.9,70.4,3336.89,208284.821,167978.877
MX-GRO,Guerrero,Porcentaje,2010,67.6,35.7,31.8,23,2,7.5,90.5,60.7,28.4,38.9,78.5,40.7,56.6,42.7,38.8,69.5,3429.88,211890.535,186370.38
MX-GRO,Guerrero,Porcentaje,2012,69.7,38,31.7,21.7,2.3,6.4,91.4,53.8,26.8,25.4,78.5,33.4,59,39.4,45.1,71.9,3495.92,218118.481,212366.441
MX-GRO,Guerrero,Porcentaje,2014,65.2,40.8,24.5,26.2,2.6,6,91.4,51.8,26.8,19.2,78.1,32.9,58,38.5,35.6,67.9,3551.77,227659.005,234183.853
MX-GRO,Guerrero,Porcentaje,2016,64.4,41.4,23,23.8,3.2,8.6,88.2,41.7,25.2,13.3,73.9,31.7,50.2,27.8,35.2,67.6,3597.31,234185.03,265235.738
MX-GRO,Guerrero,Porcentaje,2018,66.5,39.7,26.8,23.2,3,7.3,89.7,46.6,23.7,13.8,75.6,28.8,58.6,35.6,38.6,69.5,3629.73,240983.724,303673.224
MX-HID,Hidalgo,Porcentaje,2008,55.2,39.8,15.3,30.5,3.4,10.9,85.7,39.5,23.7,47.4,77.2,21.3,30.1,23.9,22.7,58.6,2574.51,208800.335,175038.767
MX-HID,Hidalgo,Porcentaje,2010,54.7,41.2,13.5,27.5,4.2,13.7,82.1,34.7,23.4,29.8,71.8,13.6,31.7,29,23.8,58.8,2688.91,206303.584,184470.154
MX-HID,Hidalgo,Porcentaje,2012,52.8,42.8,10,30.7,3,13.5,83.5,25.9,20.6,18.7,71.3,12.8,28.3,25,23.8,55.8,2775.1,222797.005,231618.44
MX-HID,Hidalgo,Porcentaje,2014,54.3,42,12.3,25.8,5.1,14.8,80.1,26.8,19.1,17.3,68.9,9.2,27,31.7,24.7,59.4,2859.24,243064.784,256398.844
MX-HID,Hidalgo,Porcentaje,2016,50.6,42.6,8,31.9,4.7,12.8,82.5,23.3,18.5,14.4,72.1,11.2,28,24.5,18.2,55.3,2938.76,268833.622,300101.36
MX-HID,Hidalgo,Porcentaje,2018,43.8,37.8,6.1,38.9,3.8,13.5,82.7,21.2,17.5,14.4,70.8,9.8,25.6,22.7,14.7,47.6,3014.26,277326.475,383074.328
MX-JAL,Jalisco,Porcentaje,2008,36.7,32.3,4.4,35.9,5.3,22.1,72.6,21.2,21.6,33.9,58,9.8,10.4,17.9,9.6,42,7235.9,918573.456,750814.023
MX-JAL,Jalisco,Porcentaje,2010,37,31.8,5.3,33.7,6.2,23,70.7,20.2,20.6,31.9,55.4,6.7,12.8,22,14.7,43.3,7461.86,925371.837,821289.839
MX-JAL,Jalisco,Porcentaje,2012,39.8,34,5.8,28.3,8.1,23.8,68.1,17,18.4,23.7,53.5,9.1,9.2,20.6,16.3,47.9,7672.91,995285.999,970346.145
MX-JAL,Jalisco,Porcentaje,2014,35.4,32.1,3.2,29.6,7.9,27.1,65,12.3,17.7,19.1,49.6,6.6,7,16.5,11.2,43.3,7870.82,1067256.762,1107264.088
MX-JAL,Jalisco,Porcentaje,2016,31.8,30,1.8,32.6,7.8,27.8,64.4,9.5,16.3,17.6,49.1,6.1,4.9,15.4,7.7,39.6,8055.96,1149129.548,1340583.331
MX-JAL,Jalisco,Porcentaje,2018,28.4,25.5,3,36.5,7.7,27.4,64.9,11.5,17,19.4,49.8,7.1,8.1,15.1,8.3,36.1,8238.99,1207897.462,1568752.029
MX-MEX,Mexico,Porcentaje,2008,43.6,36.6,6.9,35.6,4.3,16.5,79.1,29.4,18.7,42.6,68.3,14.4,17.3,21.2,11.2,47.9,14918.91,1198144.35,981146.431
MX-MEX,Mexico,Porcentaje,2010,42.9,34.3,8.6,32.2,5.6,19.3,75,26.6,18.5,30.7,59,12.9,15.9,31.6,14.5,48.5,15377.96,1226813.687,1085724.153
MX-MEX,Mexico,Porcentaje,2012,45.3,39.5,5.8,29.5,7.8,17.4,74.8,17.8,15.4,25.3,64.8,10.2,11.5,17.7,15.9,53.1,15820.4,1339994.611,1300309.612
MX-MEX,Mexico,Porcentaje,2014,49.6,42.4,7.2,23.7,9.3,17.4,73.3,17.1,15.3,19.7,60.6,10.3,12.4,21.3,20.1,58.9,16248.08,1402291.945,1451590.566
MX-MEX,Mexico,Porcentaje,2016,47.9,41.7,6.1,21.3,9.6,21.2,69.2,15.1,13.7,15.5,55.5,12.6,11.7,20.8,16.8,57.4,16658.5,1485467.443,1696120.275
MX-MEX,Mexico,Porcentaje,2018,42.7,37.8,4.9,28.1,8.7,20.4,70.8,15.2,12.9,19.8,59.2,9.6,10.3,19.8,13.8,51.4,17056.67,1605830.823,2008057.047
MX-MIC,Michoacán,Porcentaje,2008,55.5,40.1,15.4,31.4,2.5,10.6,86.9,47.1,31.9,55.6,77.4,22.5,26.9,31.8,22.2,58,4265.04,334657.914,270330.443
MX-MIC,Michoacán,Porcentaje,2010,54.7,41.2,13.5,28.6,4.3,12.3,83.4,40.3,30.6,38.2,72.2,22.4,27.2,28.8,21.6,59.1,4397.95,329767.26,290183.885
MX-MIC,Michoacán,Porcentaje,2012,54.4,39.9,14.4,30.7,3.5,11.5,85,36.6,26.1,28.6,71.6,21.1,30.4,32.2,24.2,57.9,4505.4,352030.387,348282.352
MX-MIC,Michoacán,Porcentaje,2014,59.2,45.2,14,25,4.1,11.7,84.2,35.1,27.6,26.2,71.3,15.4,26.6,34.7,24.4,63.3,4601.24,379655.442,391994.837
MX-MIC,Michoacán,Porcentaje,2016,55.3,45.9,9.4,27.8,4.7,12.1,83.2,28.5,27.4,22.8,68.9,14.8,24.5,25.9,21,60.1,4684.83,402111.981,456455.946
MX-MIC,Michoacán,Porcentaje,2018,46,40,6.1,34.8,4.9,14.3,80.9,22.6,24.2,21.2,69.5,12.7,17.7,21.1,15.6,50.9,4757.48,424377.529,547934.961
MX-MOR,Morelos,Porcentaje,2008,48.8,40.1,8.7,34.1,3.1,13.9,83,33.7,21.6,38.4,72.3,15.8,22.8,25,17.5,52,1734.47,169672.507,140312.172
MX-MOR,Morelos,Porcentaje,2010,43.2,36.3,6.9,33.6,5.8,17.3,76.9,26.9,19.3,29.9,64.6,15.7,20.6,22,13.9,49.1,1797.09,174984.467,156265.662
MX-MOR,Morelos,Porcentaje,2012,45.5,39.1,6.3,32,4.6,17.9,77.5,25.8,19.2,22.3,64.4,14.8,18.6,30.7,15,50.1,1852.26,175717.837,171825.31
MX-MOR,Morelos,Porcentaje,2014,52.3,44.4,7.9,25.7,6.1,15.8,78,24,16.6,16.6,66.2,13.4,24.6,26.9,20.5,58.4,1905.27,185662.448,189051.143
MX-MOR,Morelos,Porcentaje,2016,49.5,43.6,5.9,24.4,7.9,18.1,73.9,17.3,16.4,15,62.1,10.9,17,19.5,16.4,57.5,1954.72,194412.078,219509.801
MX-MOR,Morelos,Porcentaje,2018,50.8,43.4,7.4,29.4,5.7,14,80.2,20.4,16.9,16.8,66.5,11.3,19.9,24.6,19.6,56.6,2000.53,201363.236,250283.517
MX-NAY,Nayarit,Porcentaje,2008,41.7,35.5,6.2,34.5,4.4,19.4,76.2,23.2,21.3,30.3,66.2,12.4,14.9,18.2,14.4,46.1,1045.33,98292.89,81399.737
MX-NAY,Nayarit,Porcentaje,2010,41.4,33,8.3,33.4,4.3,20.9,74.8,21.9,20.2,22.8,61.7,12.8,16.4,23.6,17.8,45.7,1094.43,97786.134,88014.112
MX-NAY,Nayarit,Porcentaje,2012,47.6,35.7,11.9,28.2,5.6,18.6,75.8,22.2,19.3,18.3,62.6,11.9,19.6,28.8,23.4,53.2,1135.53,100800.218,99032.581
MX-NAY,Nayarit,Porcentaje,2014,40.5,32,8.5,29.4,6.5,23.5,69.9,17.9,17.4,16.3,54.4,10.1,15.3,24.1,18.8,47,1176.13,108986.732,112501.791
MX-NAY,Nayarit,Porcentaje,2016,37.5,29.6,7.9,31.4,6,25.1,69,17.2,16.8,15,55.8,9.7,18.2,19.9,16.4,43.5,1214.63,119473.243,136301.611
MX-NAY,Nayarit,Porcentaje,2018,34.8,28.9,5.9,35.9,4.9,24.4,70.7,16.1,17,13.7,56.1,11.9,17.2,18.9,13.5,39.7,1252.36,120495.124,155275.712
MX-NLE,Nuevo León,Porcentaje,2008,21.4,18.8,2.6,36.5,7.2,34.9,57.9,12.2,15,24.8,44.3,8.3,8.5,10.8,6.1,28.6,4538.95,1020366.768,873801.707
MX-NLE,Nuevo León,Porcentaje,2010,21,19.2,1.8,31.6,8.2,39.1,52.6,9.4,13.1,18.6,37.2,6.8,3.2,15.7,6,29.2,4712.65,1025184.258,943374.112
MX-NLE,Nuevo León,Porcentaje,2012,23.2,20.8,2.4,29.1,8.4,39.2,52.3,9.3,12.7,15.5,37,7,3.3,17.6,8.8,31.7,4909.32,1113817.766,1108967.174
MX-NLE,Nuevo León,Porcentaje,2014,20.4,19,1.3,28,9.1,42.5,48.4,6.7,10.8,13.7,33.4,4.6,4.3,14.2,6.4,29.5,5108.82,1161168.669,1207990.997
MX-NLE,Nuevo León,Porcentaje,2016,14.2,13.6,0.6,34.6,5.3,45.9,48.8,6.7,10.7,13.3,33.6,5,2.7,14.4,3.1,19.6,5294.2,1257648.421,1439538.536
MX-NLE,Nuevo León,Porcentaje,2018,14.5,14.1,0.5,34.4,6.6,44.5,49,4.4,10.1,13,34.6,3.1,2.4,12.2,3.1,21.1,5454.85,1353874.513,1745125.14
MX-OAX,Oaxaca,Porcentaje,2008,61.8,33.5,28.3,26.8,1.4,10,88.6,60.5,30.6,54.8,80.4,38.2,57.3,28.6,32.9,63.2,3747.43,226633.787,192561.534
MX-OAX,Oaxaca,Porcentaje,2010,67,37.7,29.2,22.2,1.3,9.5,89.2,54.5,30,38.5,79.4,33.9,58,26.4,36.2,68.3,3846.56,228089.144,208793.741
MX-OAX,Oaxaca,Porcentaje,2012,61.9,38.6,23.3,26.1,1.7,10.3,88,45.7,27.7,20.9,75.7,24.6,55.5,31.7,34.4,63.6,3924.32,239680.171,248833.702
MX-OAX,Oaxaca,Porcentaje,2014,66.8,38.4,28.3,23.3,2.1,7.9,90,49,27.2,19.9,77.9,24.5,60.5,36.1,42.1,68.8,3990.08,250239.106,265613.706
MX-OAX,Oaxaca,Porcentaje,2016,70.4,43.5,26.9,19.9,2.3,7.4,90.3,47.5,27.3,15.9,77.9,26.3,62,31.4,40.2,72.7,4046.49,256580.339,284220.424
MX-OAX,Oaxaca,Porcentaje,2018,66.4,43.1,23.3,22.5,2.6,8.5,88.9,44.8,27.1,16.3,76.2,25.1,58.3,27.9,37.4,69,4097,260440.891,353487.535
MX-PUE,Puebla,Porcentaje,2008,64.6,45.6,19,22.6,4,8.8,87.2,49.1,25.7,56,78,22.6,38.8,27.1,26.9,68.6,5725.49,468969.471,385126.957
MX-PUE,Puebla,Porcentaje,2010,61.5,44.5,17,21.6,5.6,11.3,83.1,40.7,25.3,40.4,72.3,19.6,37.3,27.6,27.7,67.1,5869.07,469967.84,416421.454
MX-PUE,Puebla,Porcentaje,2012,64.5,46.9,17.6,22,4.2,9.4,86.4,38.9,24.1,29.6,77.1,19.4,34.8,30.1,32.9,68.7,6037.92,524226.058,515088.623
MX-PUE,Puebla,Porcentaje,2014,64.5,48.4,16.2,19.8,5.1,10.5,84.4,31.5,22.9,21.2,75.2,18.9,30.6,23.9,31.9,69.7,6198.76,526200.669,540792.718
MX-PUE,Puebla,Porcentaje,2016,59.4,50.5,9,21.5,6.2,12.9,80.9,23.1,19.9,17.4,69.2,14.5,25.7,20.1,23.1,65.6,6345.95,555309.088,628165.6
MX-PUE,Puebla,Porcentaje,2018,58.9,50.3,8.6,23.2,6.1,11.7,82.1,23.7,19.4,20.8,72.1,11.7,26.5,20.8,22.3,65,6478.82,603702.659,743755.794
MX-QUE,Querétaro,Porcentaje,2008,35.2,29.8,5.5,35,5.1,24.7,70.2,21,20.4,26.8,57.7,11.9,14.2,17.9,11,40.3,1754.61,278348.405,228284.803
MX-QUE,Querétaro,Porcentaje,2010,41.4,34,7.4,31.7,5,21.8,73.2,20.2,19.5,22.1,60.6,9.9,17.6,21.3,16,46.4,1842.36,287403.169,256123.884
MX-QUE,Querétaro,Porcentaje,2012,36.9,31.8,5.2,32.6,6.4,24,69.6,16.9,17.5,15.5,56.7,10.9,14.9,19.8,14.7,43.3,1930.89,318294.372,311704.961
MX-QUE,Querétaro,Porcentaje,2014,34.2,30.3,3.9,33.1,7.8,24.9,67.3,14.2,16.4,15.8,54.3,8.9,14.8,15.8,12.3,42,2023.82,342666.454,348716.588
MX-QUE,Querétaro,Porcentaje,2016,31.1,28.2,2.9,32,8.9,27.9,63.1,11.5,14.2,13.2,48.4,9.7,12.7,13.4,10,40.1,2113.73,377947.864,432120.25
MX-QUE,Querétaro,Porcentaje,2018,27.6,25.6,2,38,6.3,28.1,65.6,11.1,14.8,11.8,52.7,8.5,12.7,13.9,7.7,33.9,2197.94,406635.649,517500.974
MX-ROO,Quintana Roo,Porcentaje,2008,33.7,26,7.7,38.4,5,23,72.1,26.5,18.7,34.6,58.4,25.8,12.9,14.8,13.1,38.6,1250.39,203018.581,175082.242
MX-ROO,Quintana Roo,Porcentaje,2010,34.6,28.2,6.4,36.1,4.7,24.6,70.7,23.3,18.3,24.3,53.8,21.7,15.2,21.8,12.1,39.4,1332.93,195148.828,180777.622
MX-ROO,Quintana Roo,Porcentaje,2012,38.8,30.4,8.4,30.4,6.2,24.6,69.2,21.8,17.6,21.2,54.9,19.7,14.5,18.6,16.6,45,1406.41,215709.871,213551.944
MX-ROO,Quintana Roo,Porcentaje,2014,35.9,28.9,7,34.2,6.3,23.7,70,20.8,15.1,18.5,51.5,18.4,18.1,23.2,14.3,42.1,1485.51,233252.369,246516.89
MX-ROO,Quintana Roo,Porcentaje,2016,28.8,24.6,4.2,38.4,4.3,28.4,67.3,18.3,15,17.6,49,17,19.5,16.4,9.3,33.2,1564.92,261497.598,302288.848
MX-ROO,Quintana Roo,Porcentaje,2018,27.6,24.1,3.5,41.2,4.1,27.1,68.8,20.9,15,15.6,51.7,21,21.8,17.9,6.9,31.7,1645.24,286095.168,358943.977
MX-SLP,San Luis Potosí,Porcentaje,2008,50.9,35.5,15.4,25.4,6.4,17.3,76.3,35.9,23,34.4,64.4,22.6,29.1,23.4,22.2,57.3,2561.31,270024.005,225361.594
MX-SLP,San Luis Potosí,Porcentaje,2010,52.4,37.1,15.3,20.9,7.2,19.5,73.3,30.6,22.2,19,57.3,16.3,32.3,30.1,26,59.6,2621.11,269397.22,244786.34
MX-SLP,San Luis Potosí,Porcentaje,2012,50.5,37.7,12.8,24.7,6.6,18.3,75.2,26.9,21.2,14,61.6,13.5,32.5,24.7,23.3,57.1,2680.71,297293.962,297155.564
MX-SLP,San Luis Potosí,Porcentaje,2014,49.1,39.6,9.5,24.3,7.6,19,73.4,20.5,18.4,10.7,59.1,11,28.1,21.6,23.2,56.7,2733.86,316716.343,330242.339
MX-SLP,San Luis Potosí,Porcentaje,2016,45.5,37.8,7.7,24.6,8,21.9,70.2,17.7,17.5,9.1,55.6,9.7,24.7,20.1,20.4,53.5,2781.46,342065.043,400396.415
MX-SLP,San Luis Potosí,Porcentaje,2018,43.4,36.1,7.3,27.7,7.4,21.5,71.1,16,16.9,9,55.5,8.6,26.4,17,19,50.8,2825.16,370089.916,501660.08
MX-SIN,Sinaloa,Porcentaje,2008,32.4,27.8,4.6,40.9,3.5,23.2,73.3,25.3,21.2,29.2,58.8,14.2,18.6,22.7,8.1,35.9,2745.89,316380.798,260205.206
MX-SIN,Sinaloa,Porcentaje,2010,36.7,31.2,5.5,33.3,7.7,22.3,70,19,19.3,21.4,53.6,8.5,15.7,24.5,14.2,44.4,2806.7,312655.113,277104.769
MX-SIN,Sinaloa,Porcentaje,2012,36.3,31.8,4.5,33.5,6.4,23.8,69.8,18.5,18.4,16.6,52.7,10.1,16.1,25.9,13.4,42.6,2893.42,330191.387,325175.665
MX-SIN,Sinaloa,Porcentaje,2014,39.4,34.1,5.3,30.4,6.9,23.4,69.7,19.7,19.1,15.2,49.3,10.8,18,29.6,13.5,46.3,2976.48,340077.857,344506.492
MX-SIN,Sinaloa,Porcentaje,2016,30.8,27.9,2.9,32.8,7.4,28.9,63.7,14.3,15.8,12.2,44.7,11.3,12.8,22.7,8.7,38.2,3049.38,376438.398,423219.311
MX-SIN,Sinaloa,Porcentaje,2018,30.9,28.2,2.7,34.5,6.5,28.1,65.4,15,16.5,13.2,45.4,8.5,14.9,24.5,7.5,37.4,3104.61,390504.775,482808.424
MX-SON,Sonora,Porcentaje,2008,27.1,22.8,4.4,38.7,4.3,30,65.8,18.8,16.1,22.6,49,13.4,13,21.2,7.8,31.4,2590.98,436717.189,360308.272
MX-SON,Sonora,Porcentaje,2010,33.1,28,5.1,31.6,6.8,28.4,64.8,18.9,14,22.7,46.2,11.7,15.3,25.8,10.9,40,2687.48,431501.919,385750.835
MX-SON,Sonora,Porcentaje,2012,29.1,24.2,5,36.6,4.7,29.6,65.7,16.2,13.6,17.1,46.8,10.2,12.6,26,10.2,33.8,2769.54,495926.031,488557.575
MX-SON,Sonora,Porcentaje,2014,29.4,26.1,3.3,32.1,7.3,31.3,61.4,12.9,12.1,14.4,41.8,10.1,8.9,24.9,9.7,36.6,2847.82,522896.949,535720.341
MX-SON,Sonora,Porcentaje,2016,27.9,25.3,2.5,30.9,8.2,33,58.8,11.7,12.3,14.7,41.2,9.5,9.7,21,7.5,36.1,2922.67,578945.379,663322.554
MX-SON,Sonora,Porcentaje,2018,28.2,25.6,2.6,30.1,8.7,33,58.3,12.1,11.4,12.6,41,8.6,10.7,21.5,8.4,36.9,3000.13,581395.25,762759.786
MX-TAB,Tabasco,Porcentaje,2008,53.8,38,15.8,33.8,2.8,9.6,87.6,37.4,21.5,25.6,77.6,17.4,36.7,34.5,24.9,56.6,2167.69,475202.827,414905.271
MX-TAB,Tabasco,Porcentaje,2010,57.1,43.5,13.6,27.2,4.1,11.5,84.3,39,19.8,23.9,73.3,21.7,38.9,33.3,22.4,61.2,2255.25,525011.917,449415.171
MX-TAB,Tabasco,Porcentaje,2012,49.7,35.4,14.3,34,3,13.4,83.6,37.5,19.1,18.2,71.2,19.4,44.7,33.4,23.6,52.7,2325.37,564003.811,592703.438
MX-TAB,Tabasco,Porcentaje,2014,49.6,38.5,11,37.5,2.3,10.6,87,38.5,17,16.9,72.7,13.4,43.9,45,17.9,51.9,2393.66,564794.238,575966.401
MX-TAB,Tabasco,Porcentaje,2016,50.9,39.1,11.8,35.4,2.6,11.1,86.3,36.3,16.5,13.4,67,12.3,48.8,45.3,19.6,53.4,2457.37,534685.495,454246.599
MX-TAB,Tabasco,Porcentaje,2018,53.6,41.4,12.3,33.4,2.5,10.4,87,37.2,16.5,12.6,69.1,12.3,46,46.8,20.8,56.2,2515.93,468708.681,498585.882
MX-TAM,Tamaulipas,Porcentaje,2008,33.8,29,4.8,33.1,7.8,25.2,66.9,17.1,17.3,23.9,55.2,12.3,13,11.8,12.4,41.7,3221.33,483350.662,429771.347
MX-TAM,Tamaulipas,Porcentaje,2010,39,33.5,5.5,26.9,9.4,24.8,65.9,15.4,14.4,20.9,51.1,9.6,16.5,13.6,14.5,48.3,3310.31,448215.116,406896.616
MX-TAM,Tamaulipas,Porcentaje,2012,38.4,33.7,4.7,26.8,8.8,26,65.1,14.3,15.5,15.8,50.6,10.5,10.6,19.2,14.9,47.2,3390.26,466371.322,462474.737
MX-TAM,Tamaulipas,Porcentaje,2014,37.9,33.6,4.3,24.4,11.2,26.5,62.3,12.7,16,15,45.5,8.2,11.5,19.5,16.1,49.1,3461.85,477891.309,498626.182
MX-TAM,Tamaulipas,Porcentaje,2016,32.2,29.3,2.9,28.6,10.1,29.2,60.7,10.1,14.3,12.8,42.3,6.4,9.7,19.2,12.1,42.3,3527.1,500458.048,578652.506
MX-TAM,Tamaulipas,Porcentaje,2018,35.1,31.8,3.3,25.7,13.2,26,60.8,9.8,14.4,12,43.4,7.7,8.9,16.7,15.1,48.3,3590.49,507780.727,669164.565
MX-TLA,Tlaxcala,Porcentaje,2008,59.6,50.1,9.5,23.6,5.6,11.3,83.2,29.1,17.7,44.6,74.9,13.4,12.4,24.8,21.7,65.2,1148.11,83246.79,67699.514
MX-TLA,Tlaxcala,Porcentaje,2010,60.3,50.4,9.9,19.3,7.4,13,79.7,23.3,15.6,33.4,70.8,11.7,13.7,24.1,26.8,67.7,1185.87,88809.886,78454.866
MX-TLA,Tlaxcala,Porcentaje,2012,57.9,48.8,9.1,23.9,6,12.2,81.8,22.9,15.8,24.2,70.8,13,16,28.4,24.4,63.9,1229.57,89918.601,88109.739
MX-TLA,Tlaxcala,Porcentaje,2014,58.9,52.4,6.5,22.6,7.7,10.8,81.5,15.9,14.9,17.5,71.5,9.4,12.1,24,27.1,66.6,1273.77,90362.518,93828.437
MX-TLA,Tlaxcala,Porcentaje,2016,53.9,48.2,5.7,24.4,8.2,13.4,78.4,13.5,13,12.5,66.2,10.2,10.7,22.2,19.6,62.2,1314.42,96859.667,109834.483
MX-TLA,Tlaxcala,Porcentaje,2018,48.4,45.3,3.1,28.6,7.6,15.4,77,13.5,13.1,13.7,67.8,8.7,10.1,20.2,14.9,56,1347.93,99024.914,126446.673
MX-VER,Veracruz,Porcentaje,2008,51.2,34.3,16.8,32.7,3.1,12.9,83.9,46.7,28.4,42.9,72.1,30.5,42.7,25.6,20.8,54.3,7561.55,704314.03,580223.999
MX-VER,Veracruz,Porcentaje,2010,57.6,38.8,18.8,23.6,4.5,14.3,81.2,41.9,25.8,34.9,69.2,24,39.3,26.1,27.8,62.1,7747.68,718148.55,639238.481
MX-VER,Veracruz,Porcentaje,2012,52.6,38.4,14.3,30.6,4,12.8,83.2,36.9,25.8,25.7,68.5,19.7,39.2,28.2,24,56.6,7957.24,779730.434,777750.647
MX-VER,Veracruz,Porcentaje,2014,58,40.9,17.2,24.8,5,12.2,82.8,37.3,27.8,21.7,68.5,16.8,40,30,29.2,63,8150.88,780785.356,810516.492
MX-VER,Veracruz,Porcentaje,2016,62.2,45.8,16.4,19.9,5,12.9,82.1,33.4,25.7,19.4,68,17.5,39.2,22.2,30.6,67.1,8316.6,784930.108,862619.629
MX-VER,Veracruz,Porcentaje,2018,61.8,44.1,17.7,21.1,6.1,10.9,82.9,33.3,25,16.7,67.5,16.9,42.1,27,32.2,67.9,8434.16,794376.31,983738.137
MX-YUC,Yucatán,Porcentaje,2008,47,38.2,8.9,29.5,4.7,18.7,76.6,35.2,26.2,26.9,61,24.3,41.9,16.2,13,51.8,1929.92,193158.623,159011.746
MX-YUC,Yucatán,Porcentaje,2010,48.3,36.6,11.7,26,6.4,19.2,74.3,31.9,24.7,20.7,56.9,19.5,37.4,21.4,17.9,54.8,1979.7,196149.981,175773.5
MX-YUC,Yucatán,Porcentaje,2012,48.9,39,9.8,27,6.3,17.9,75.9,32.7,23.4,15.7,58.8,20.6,42.7,25.1,16.6,55.1,2041.58,214700.599,209189.067
MX-YUC,Yucatán,Porcentaje,2014,45.9,35.2,10.7,27.7,7,19.5,73.5,27.4,21.8,14.5,54.4,17.5,40.4,18.4,20.7,52.8,2100.82,223858.768,232467.744
MX-YUC,Yucatán,Porcentaje,2016,41.9,35.7,6.1,32.5,5.7,19.9,74.3,24.3,20.6,14.4,54.2,15.8,35.5,19.3,11.8,47.6,2155.88,242505.306,275534.828
MX-YUC,Yucatán,Porcentaje,2018,40.8,34.1,6.7,33.3,5.5,20.4,74.1,25.1,19.7,14.1,55.3,13.6,38.4,19.4,12.5,46.3,2208.24,260417.828,329373.441
MX-ZAC,Zacatecas,Porcentaje,2008,50.1,40.6,9.5,27.8,6.1,16,77.9,25,24.5,32.1,67.8,9.6,14.6,19.7,22.3,56.2,1465.79,126383.577,102382.135
MX-ZAC,Zacatecas,Porcentaje,2010,60.2,49.4,10.8,18.4,6.9,14.5,78.6,23.5,22.9,25.6,66.6,5.9,17.8,24.9,29.7,67.1,1508.11,144730.56,130183.528
MX-ZAC,Zacatecas,Porcentaje,2012,54.2,46.7,7.5,20.4,6.4,19,74.6,15.2,21.1,16.7,62.9,5.1,10.9,22.3,30.3,60.6,1548.01,148728.64,157643.57
MX-ZAC,Zacatecas,Porcentaje,2014,52.3,46.6,5.7,24.4,7.3,16,76.7,13.3,21.6,14.9,63.4,4.9,13.3,16.8,26.7,59.7,1584.74,156808.457,156773.426
MX-ZAC,Zacatecas,Porcentaje,2016,49,45.5,3.5,24.4,8.9,17.7,73.4,10.3,17.7,11.5,60.4,5.1,10.7,15.1,21,57.9,1616.68,157998.056,187277.522
MX-ZAC,Zacatecas,Porcentaje,2018,46.8,43.4,3.4,28.7,7.7,16.8,75.5,10.5,17.8,11.7,62.6,5.4,10.4,16.6,17.2,54.5,1642.39,156725.476,205854.33
MX-AGU,Aguascalientes,Carencias promedio,2008,2,1.8,3.5,1.8,0,0,1.9,3.4,2.4,2.5,2,3.1,3.1,2.5,2,1.6,1153.47,150949.983,126346.473
MX-AGU,Aguascalientes,Carencias promedio,2010,1.9,1.8,3.4,1.7,0,0,1.8,3.3,2.3,2.4,2,2.8,2.9,2.3,1.9,1.6,1198.51,152205.212,138350.48
MX-AGU,Aguascalientes,Carencias promedio,2012,1.8,1.7,3.4,1.5,0,0,1.7,3.3,2.2,2.5,1.9,2.7,2.9,2.2,1.8,1.5,1250.96,167705.967,166978.119
MX-AGU,Aguascalientes,Carencias promedio,2014,1.7,1.6,3.4,1.5,0,0,1.6,3.3,2.1,2.4,1.8,2.7,2.8,2,1.6,1.4,1305.27,190482.862,195180.365
MX-AGU,Aguascalientes,Carencias promedio,2016,1.7,1.6,3.3,1.5,0,0,1.6,3.2,2.1,2.4,1.8,2.4,2.8,2,1.7,1.2,1355.32,211672.469,248849.972
MX-AGU,Aguascalientes,Carencias promedio,2018,1.6,1.5,3.2,1.5,0,0,1.6,3.2,1.9,2.3,1.7,2.4,2.7,1.9,1.4,1.2,1395.79,224807.469,298147.899
MX-BCN,Baja California,Carencias promedio,2008,2.1,2,3.4,1.9,0,0,2,3.3,2.5,2.5,2.1,2.9,2.9,2.7,2.3,1.8,3064.93,457556.565,395576.586
MX-BCN,Baja California,Carencias promedio,2010,2.2,2,3.4,1.8,0,0,2,3.4,2.5,2.5,2.1,2.8,3,2.6,2.1,1.8,3183.65,428162.546,393693.175
MX-BCN,Baja California,Carencias promedio,2012,1.9,1.8,3.3,1.7,0,0,1.8,3.3,2.4,2.4,1.9,2.7,3.1,2.4,1.8,1.5,3258.39,456024.472,456744.955
